"Table 323.10. Master's degrees conferred by postsecondary institutions, by field of study: Selected years, 1970-71 through 2016-17",,,,,,,,,,,,,,,,,,
Field of study,1970-71,1975-76,1980-81,1985-86,1990-91,1995-96,2000-01,2005-06,2006-07,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Philosophy and religious studies ..................................,"1,326","1,358","1,231","1,193","1,471","1,363","1,386","1,739","1,716","1,859","2,045","1,839","2,003","1,934","2,095","1,912","1,756","1,705"
Physical sciences and science technologies .............................,"6,336","5,428","5,246","5,860","5,281","5,910","5,134","6,063","6,015","5,862","6,066","6,386","6,911","7,014","6,984","7,100","7,131","7,143"
,,,,,,,,,,,,,,,,,,
Precision production ....................................,0,0,0,0,0,8,2,9,5,10,10,5,11,9,15,4,10,14
Psychology .....................................................,"5,717","10,167","10,223","9,845","11,349","15,152","16,539","19,775","21,096","23,415","23,763","25,062","27,052","27,787","27,926","26,772","27,645","27,542"
Public administration and social services ........................,"7,785","15,209","17,803","15,692","17,905","24,229","25,268","30,492","31,132","33,934","35,740","38,614","41,737","43,591","44,508","45,948","46,754","45,393"
Social sciences and history ........................................,"16,539","15,953","11,945","10,564","12,233","15,012","13,791","17,368","17,666","19,241","20,234","21,085","21,891","21,591","21,497","20,533","19,861","20,015"
Theology and religious vocations ................................,"7,747","8,964","11,061","11,826","10,498","10,909","9,876","11,758","12,436","12,851","12,848","13,170","13,341","14,275","14,128","14,278","14,352","13,654"
,,,,,,,,,,,,,,,,,,
Transportation and materials moving .....................,0,0,0,454,406,919,756,784,985,"1,048","1,074","1,390","1,702","1,444","1,243",971,911,839
Visual and performing arts ...............................,"6,675","8,817","8,629","8,420","8,657","10,280","11,404","13,531","13,768","14,918","15,562","16,277","17,307","17,869","17,869","17,756","18,052","17,523"
Not classified by field of study ...............................,0,0,0,0,"8,523",780,528,0,0,0,0,0,0,0,0,0,0,0
"NOTE: Data through 1990-91 are for institutions of higher education, while later data are for postsecondary institutions that participate in Title IV federal financial aid programs. The new Classification of Instructional Programs was initiated in 2009-10. The figures for earlier years have been reclassified when necessary to make them conform to the new taxonomy. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; ""Business"" includes Business, management, marketing, and related support services and Personal and culinary services; and ""Engineering technologies"" includes Engineering technologies and engineering-related fields, Construction trades, and Mechanic and repair technologies/technicians. Some data have been revised from previously published figures.",,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Higher Education General Information Survey (HEGIS), ""Degrees and Other Formal Awards Conferred"" surveys, 1970-71 through 1985-86; Integrated Postsecondary Education Data System (IPEDS), ""Completions Survey"" (IPEDS-C:91-99); and IPEDS Fall 2000 through Fall 2017, Completions component. (This table was prepared August 2018.)",,,,,,,,,,,,,,,,,,
